<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,08/07/20,10:05:00,210.8000000,211.4400000,210.5500000,211.1000000,1457200
SBER,5,08/07/20,10:10:00,211.1000000,211.3900000,210.8000000,211.1500000,698370
SBER,5,08/07/20,10:15:00,211.1500000,211.3400000,210.8000000,210.8700000,731050
SBER,5,08/07/20,10:20:00,210.8400000,211.0000000,210.5700000,210.8900000,591930
SBER,5,08/07/20,10:25:00,210.8600000,210.9700000,210.5600000,210.5600000,357210
SBER,5,08/07/20,10:30:00,210.5700000,210.6100000,210.1500000,210.4900000,1026510
SBER,5,08/07/20,10:35:00,210.4900000,210.8900000,210.3900000,210.8900000,594190
SBER,5,08/07/20,10:40:00,210.8900000,211.3000000,210.8500000,211.1400000,531630
SBER,5,08/07/20,10:45:00,211.1800000,211.2200000,210.8000000,211.0900000,325750
SBER,5,08/07/20,10:50:00,211.0800000,211.1800000,210.8500000,211.1700000,161800
SBER,5,08/07/20,10:55:00,211.1000000,211.6800000,210.9000000,211.5200000,839960
SBER,5,08/07/20,11:00:00,211.5000000,211.6200000,210.8800000,210.8800000,434660
SBER,5,08/07/20,11:05:00,210.9400000,211.1500000,210.7100000,211.1000000,356650
SBER,5,08/07/20,11:10:00,211.1300000,211.1600000,210.8400000,211.0000000,516620
SBER,5,08/07/20,11:15:00,211.0100000,211.2000000,210.9200000,211.1800000,182300
SBER,5,08/07/20,11:20:00,211.1800000,211.3300000,210.9000000,210.9300000,142050
SBER,5,08/07/20,11:25:00,210.9300000,211.0800000,210.8100000,210.8500000,132820
SBER,5,08/07/20,11:30:00,210.8500000,211.0000000,210.8100000,210.8500000,62430
SBER,5,08/07/20,11:35:00,210.8800000,210.9600000,210.5100000,210.8300000,415010
SBER,5,08/07/20,11:40:00,210.8100000,211.3200000,210.7600000,211.1000000,249220
SBER,5,08/07/20,11:45:00,211.1400000,211.3900000,211.1200000,211.2200000,174000
SBER,5,08/07/20,11:50:00,211.2100000,211.4200000,211.1700000,211.3400000,170500
SBER,5,08/07/20,11:55:00,211.3400000,211.3500000,211.0700000,211.2100000,146860
SBER,5,08/07/20,12:00:00,211.2000000,211.2000000,210.8300000,210.9900000,188670
SBER,5,08/07/20,12:05:00,210.9500000,211.0000000,210.6500000,210.7700000,250360
SBER,5,08/07/20,12:10:00,210.7000000,210.8800000,210.5700000,210.7400000,132020
SBER,5,08/07/20,12:15:00,210.7400000,210.8100000,210.4000000,210.5200000,426290
SBER,5,08/07/20,12:20:00,210.5000000,210.6400000,210.3400000,210.4800000,321180
SBER,5,08/07/20,12:25:00,210.4500000,210.6800000,210.3800000,210.6100000,153010
SBER,5,08/07/20,12:30:00,210.6100000,210.6800000,210.4700000,210.6000000,73370
SBER,5,08/07/20,12:35:00,210.5600000,210.7700000,210.5500000,210.7400000,44330
SBER,5,08/07/20,12:40:00,210.7400000,210.8800000,210.5500000,210.6700000,153910
SBER,5,08/07/20,12:45:00,210.6200000,210.6500000,210.0000000,210.0600000,902620
