<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,16/07/20,11:24:00,209.5000000,209.6600000,209.5000000,209.6600000,75520
SBER,1,16/07/20,11:25:00,209.6600000,209.6900000,209.6400000,209.6800000,25470
SBER,1,16/07/20,11:26:00,209.6800000,209.7400000,209.6300000,209.7400000,23910
SBER,1,16/07/20,11:27:00,209.7400000,209.7400000,209.6000000,209.6100000,14820
SBER,1,16/07/20,11:28:00,209.6100000,209.6400000,209.5000000,209.5300000,58730
SBER,1,16/07/20,11:29:00,209.5000000,209.5600000,209.5000000,209.5600000,25380
SBER,1,16/07/20,11:30:00,209.5800000,209.6300000,209.5000000,209.5600000,144580
SBER,1,16/07/20,11:31:00,209.5100000,209.5100000,209.4100000,209.4400000,57900
SBER,1,16/07/20,11:32:00,209.4400000,209.4700000,209.3100000,209.3100000,97130
SBER,1,16/07/20,11:33:00,209.3100000,209.3300000,208.9100000,209.0300000,730210
SBER,1,16/07/20,11:34:00,209.0000000,209.0600000,208.9100000,208.9200000,90520
SBER,1,16/07/20,11:35:00,208.9300000,209.0000000,208.8900000,208.9900000,60190
SBER,1,16/07/20,11:36:00,208.9400000,208.9900000,208.8100000,208.8400000,163190
SBER,1,16/07/20,11:37:00,208.8400000,209.0300000,208.8100000,209.0000000,321210
SBER,1,16/07/20,11:38:00,208.9800000,209.0500000,208.9300000,208.9300000,54560
SBER,1,16/07/20,11:39:00,208.9900000,209.0300000,208.9800000,209.0000000,34880
SBER,1,16/07/20,11:40:00,209.0000000,209.0700000,209.0000000,209.0300000,27020
SBER,1,16/07/20,11:41:00,209.0600000,209.0600000,208.9100000,209.0000000,82640
SBER,1,16/07/20,11:42:00,208.9800000,209.1400000,208.9800000,209.0600000,45270
SBER,1,16/07/20,11:43:00,209.0600000,209.1100000,209.0000000,209.0000000,48940
SBER,1,16/07/20,11:44:00,209.0100000,209.1800000,209.0000000,209.1500000,26100
SBER,1,16/07/20,11:45:00,209.1700000,209.1900000,209.1000000,209.1500000,11020
SBER,1,16/07/20,11:46:00,209.1500000,209.1500000,209.0000000,209.1200000,75820
SBER,1,16/07/20,11:47:00,209.0800000,209.1400000,209.0400000,209.0500000,10520
SBER,1,16/07/20,11:48:00,209.0600000,209.1600000,209.0600000,209.1100000,5870
SBER,1,16/07/20,11:49:00,209.0700000,209.1300000,209.0700000,209.1200000,15500
SBER,1,16/07/20,11:50:00,209.0900000,209.1100000,209.0300000,209.0300000,65000
SBER,1,16/07/20,11:51:00,209.0300000,209.0300000,208.9100000,208.9300000,77510
SBER,1,16/07/20,11:52:00,208.9400000,208.9800000,208.9300000,208.9300000,48290
SBER,1,16/07/20,11:53:00,208.9400000,209.0000000,208.9300000,209.0000000,3050
SBER,1,16/07/20,11:54:00,209.0000000,209.0000000,208.9500000,208.9900000,9940
SBER,1,16/07/20,11:55:00,208.9700000,208.9900000,208.9700000,208.9700000,5100
SBER,1,16/07/20,11:56:00,208.9900000,209.1000000,208.9300000,209.0600000,123780
SBER,1,16/07/20,11:57:00,209.0900000,209.1000000,209.0400000,209.0800000,7810
SBER,1,16/07/20,11:58:00,209.0500000,209.0900000,209.0100000,209.0600000,4010
SBER,1,16/07/20,11:59:00,209.0600000,209.1500000,209.0600000,209.1000000,45460
SBER,1,16/07/20,12:00:00,209.1100000,209.1900000,209.0500000,209.1200000,50700
SBER,1,16/07/20,12:01:00,209.1200000,209.3500000,209.0900000,209.2800000,83750
SBER,1,16/07/20,12:02:00,209.2800000,209.3000000,209.0100000,209.0200000,53840
SBER,1,16/07/20,12:03:00,209.0200000,209.1000000,209.0200000,209.0600000,3820
SBER,1,16/07/20,12:04:00,209.0600000,209.1300000,209.0400000,209.0600000,24750
SBER,1,16/07/20,12:05:00,209.0600000,209.0700000,208.9800000,209.0100000,52990
SBER,1,16/07/20,12:06:00,209.0100000,209.0100000,208.9200000,208.9400000,59540
SBER,1,16/07/20,12:07:00,208.9500000,209.1500000,208.9500000,209.0400000,22090
SBER,1,16/07/20,12:08:00,209.1100000,209.1100000,208.8100000,208.8200000,97950
SBER,1,16/07/20,12:09:00,208.8500000,208.9400000,208.7900000,208.8800000,117720
SBER,1,16/07/20,12:10:00,208.8500000,208.9000000,208.7900000,208.9000000,24950
SBER,1,16/07/20,12:11:00,208.9000000,208.9500000,208.8700000,208.9500000,23380
SBER,1,16/07/20,12:12:00,208.9000000,208.9000000,208.6900000,208.7200000,96270
SBER,1,16/07/20,12:13:00,208.7200000,208.7500000,208.6300000,208.7000000,97360
SBER,1,16/07/20,12:14:00,208.6900000,208.8300000,208.6600000,208.8100000,74830
SBER,1,16/07/20,12:15:00,208.7500000,208.8400000,208.7300000,208.8000000,32450
SBER,1,16/07/20,12:16:00,208.8300000,208.9600000,208.8000000,208.8800000,33730
SBER,1,16/07/20,12:17:00,208.8600000,209.0000000,208.8300000,208.9200000,16070
SBER,1,16/07/20,12:18:00,208.9200000,209.0200000,208.8400000,208.9600000,51940
SBER,1,16/07/20,12:19:00,208.9600000,209.0000000,208.9100000,208.9900000,26340
SBER,1,16/07/20,12:20:00,208.9100000,208.9900000,208.9100000,208.9500000,12910
SBER,1,16/07/20,12:21:00,208.9500000,209.1700000,208.9500000,209.1700000,38660
SBER,1,16/07/20,12:22:00,209.1500000,209.1500000,209.0200000,209.0300000,6440
SBER,1,16/07/20,12:23:00,209.0400000,209.0500000,208.9400000,208.9400000,30180
SBER,1,16/07/20,12:24:00,208.9800000,209.0300000,208.9500000,209.0200000,20830
SBER,1,16/07/20,12:25:00,209.0000000,209.0900000,208.9600000,209.0700000,38220
SBER,1,16/07/20,12:26:00,209.0400000,209.1000000,209.0100000,209.1000000,7010
SBER,1,16/07/20,12:27:00,209.0700000,209.0800000,209.0100000,209.0200000,4480
SBER,1,16/07/20,12:28:00,209.0800000,209.0900000,209.0000000,209.0800000,4840
SBER,1,16/07/20,12:29:00,209.0800000,209.1200000,209.0400000,209.0600000,17510
SBER,1,16/07/20,12:30:00,209.1100000,209.1200000,209.0800000,209.1000000,2980
SBER,1,16/07/20,12:31:00,209.1100000,209.1500000,209.1000000,209.1500000,11330
SBER,1,16/07/20,12:32:00,209.1000000,209.1300000,209.0600000,209.1200000,9390
SBER,1,16/07/20,12:33:00,209.1200000,209.2100000,209.1200000,209.2000000,35750
SBER,1,16/07/20,12:34:00,209.1900000,209.4000000,209.1900000,209.3900000,149530
SBER,1,16/07/20,12:35:00,209.3400000,209.3900000,209.2600000,209.3500000,15530
SBER,1,16/07/20,12:36:00,209.3200000,209.3500000,209.3000000,209.3000000,14240
SBER,1,16/07/20,12:37:00,209.3000000,209.3200000,209.3000000,209.3200000,2350
SBER,1,16/07/20,12:38:00,209.3100000,209.3400000,209.2600000,209.2600000,19730
SBER,1,16/07/20,12:39:00,209.3300000,209.3400000,209.2900000,209.3400000,23410
SBER,1,16/07/20,12:40:00,209.3200000,209.3200000,209.2700000,209.3100000,8530
SBER,1,16/07/20,12:41:00,209.3200000,209.5000000,209.2900000,209.4300000,101310
SBER,1,16/07/20,12:42:00,209.4800000,209.5400000,209.4000000,209.4500000,105390
SBER,1,16/07/20,12:43:00,209.4500000,209.4800000,209.3800000,209.4400000,17490
SBER,1,16/07/20,12:44:00,209.4200000,209.4400000,209.3300000,209.3600000,8890
SBER,1,16/07/20,12:45:00,209.4100000,209.5100000,209.3700000,209.5000000,62640
SBER,1,16/07/20,12:46:00,209.4700000,209.5200000,209.4500000,209.5000000,18580
SBER,1,16/07/20,12:47:00,209.5000000,209.5000000,209.3600000,209.3800000,30890
SBER,1,16/07/20,12:48:00,209.3700000,209.5900000,209.3600000,209.5600000,32360
SBER,1,16/07/20,12:49:00,209.5900000,209.6000000,209.5000000,209.6000000,39580
SBER,1,16/07/20,12:50:00,209.5900000,209.6000000,209.5400000,209.5700000,24460
SBER,1,16/07/20,12:51:00,209.5700000,209.6400000,209.5000000,209.5000000,60770
SBER,1,16/07/20,12:52:00,209.5200000,209.6000000,209.5200000,209.5800000,36250
SBER,1,16/07/20,12:53:00,209.5600000,209.5900000,209.4000000,209.4500000,119210
SBER,1,16/07/20,12:54:00,209.4500000,209.5000000,209.4300000,209.4900000,13550
SBER,1,16/07/20,12:55:00,209.4500000,209.4500000,209.4000000,209.4100000,2270
SBER,1,16/07/20,12:56:00,209.4100000,209.4100000,209.3600000,209.3700000,7580
SBER,1,16/07/20,12:57:00,209.4100000,209.4400000,209.4000000,209.4400000,22880
SBER,1,16/07/20,12:58:00,209.5000000,209.5000000,209.4900000,209.4900000,620
SBER,1,16/07/20,12:59:00,209.4700000,209.5000000,209.4300000,209.4300000,26560
SBER,1,16/07/20,13:00:00,209.4800000,209.4800000,209.3800000,209.4300000,6070
SBER,1,16/07/20,13:01:00,209.3900000,209.4700000,209.3900000,209.4700000,5250
SBER,1,16/07/20,13:02:00,209.4600000,209.4700000,209.4100000,209.4500000,2880
SBER,1,16/07/20,13:03:00,209.4400000,209.4400000,209.4100000,209.4300000,3170
SBER,1,16/07/20,13:04:00,209.4300000,209.4300000,209.3800000,209.4300000,1450
SBER,1,16/07/20,13:05:00,209.4100000,209.5800000,209.4100000,209.5800000,42120
SBER,1,16/07/20,13:06:00,209.5800000,209.6500000,209.5600000,209.5900000,23240
SBER,1,16/07/20,13:07:00,209.5300000,209.5400000,209.4800000,209.5300000,7530
SBER,1,16/07/20,13:08:00,209.5300000,209.5300000,209.4700000,209.4800000,8450
SBER,1,16/07/20,13:09:00,209.4800000,209.5000000,209.4100000,209.4600000,38930
SBER,1,16/07/20,13:10:00,209.4100000,209.4600000,209.3600000,209.4200000,7300
SBER,1,16/07/20,13:11:00,209.4900000,209.4900000,209.4100000,209.4100000,1990
SBER,1,16/07/20,13:12:00,209.4000000,209.4700000,209.4000000,209.4400000,4600
SBER,1,16/07/20,13:13:00,209.4000000,209.4300000,209.3900000,209.3900000,4160
SBER,1,16/07/20,13:14:00,209.3600000,209.3600000,209.3000000,209.3500000,16860
SBER,1,16/07/20,13:15:00,209.3500000,209.3500000,209.3200000,209.3500000,3410
SBER,1,16/07/20,13:16:00,209.3300000,209.4600000,209.3300000,209.4100000,4040
SBER,1,16/07/20,13:17:00,209.4500000,209.4500000,209.4100000,209.4300000,4010
SBER,1,16/07/20,13:18:00,209.4000000,209.4500000,209.4000000,209.4300000,10150
SBER,1,16/07/20,13:19:00,209.4600000,209.4800000,209.4400000,209.4500000,3090
SBER,1,16/07/20,13:20:00,209.3800000,209.3900000,209.3800000,209.3800000,690
SBER,1,16/07/20,13:21:00,209.3300000,209.3800000,209.3100000,209.3300000,1630
SBER,1,16/07/20,13:22:00,209.3300000,209.3300000,209.2000000,209.2500000,42680
SBER,1,16/07/20,13:23:00,209.2400000,209.2400000,209.1600000,209.1600000,16620
SBER,1,16/07/20,13:24:00,209.1600000,209.1900000,209.1300000,209.1600000,17180
SBER,1,16/07/20,13:25:00,209.1600000,209.2000000,209.1400000,209.2000000,34740
SBER,1,16/07/20,13:26:00,209.2100000,209.3500000,209.2100000,209.3400000,19530
SBER,1,16/07/20,13:27:00,209.2800000,209.2900000,209.2600000,209.2800000,13990
SBER,1,16/07/20,13:28:00,209.3000000,209.3000000,209.2000000,209.2600000,10750
SBER,1,16/07/20,13:29:00,209.2600000,209.2800000,209.2000000,209.2100000,6820
SBER,1,16/07/20,13:30:00,209.2000000,209.2000000,209.0300000,209.0300000,56110
SBER,1,16/07/20,13:31:00,209.0300000,209.0500000,208.9900000,209.0500000,117880
SBER,1,16/07/20,13:32:00,209.0400000,209.1200000,209.0000000,209.0400000,28750
SBER,1,16/07/20,13:33:00,209.1000000,209.1200000,209.0800000,209.0800000,14130
SBER,1,16/07/20,13:34:00,209.1300000,209.2000000,209.1300000,209.1900000,8810
SBER,1,16/07/20,13:35:00,209.2000000,209.2300000,209.1200000,209.1200000,6620
SBER,1,16/07/20,13:36:00,209.1800000,209.1800000,209.0500000,209.1000000,15560
SBER,1,16/07/20,13:37:00,209.1000000,209.1600000,209.1000000,209.1600000,4910
SBER,1,16/07/20,13:38:00,209.1600000,209.2000000,209.1600000,209.2000000,17260
SBER,1,16/07/20,13:39:00,209.2200000,209.2200000,209.1900000,209.2200000,6640
SBER,1,16/07/20,13:40:00,209.2300000,209.3000000,209.2300000,209.2700000,18010
SBER,1,16/07/20,13:41:00,209.2700000,209.2900000,209.2000000,209.2700000,4610
SBER,1,16/07/20,13:42:00,209.2700000,209.4200000,209.2700000,209.3800000,11330
SBER,1,16/07/20,13:43:00,209.3700000,209.4600000,209.3700000,209.4500000,245460
SBER,1,16/07/20,13:44:00,209.4300000,209.4500000,209.4000000,209.4200000,10300
SBER,1,16/07/20,13:45:00,209.4000000,209.4300000,209.4000000,209.4300000,87410
SBER,1,16/07/20,13:46:00,209.4200000,209.5800000,209.4100000,209.5800000,107370
SBER,1,16/07/20,13:47:00,209.5800000,209.6500000,209.4600000,209.5200000,18670
SBER,1,16/07/20,13:48:00,209.5200000,209.6700000,209.5200000,209.5700000,67160
SBER,1,16/07/20,13:49:00,209.5800000,209.6700000,209.5800000,209.6400000,19060
SBER,1,16/07/20,13:50:00,209.6400000,209.6800000,209.5500000,209.5500000,55120
SBER,1,16/07/20,13:51:00,209.6000000,209.8900000,209.5200000,209.8300000,138970
SBER,1,16/07/20,13:52:00,209.8400000,209.8900000,209.8100000,209.8100000,36330
SBER,1,16/07/20,13:53:00,209.8100000,209.8500000,209.7000000,209.7100000,48750
SBER,1,16/07/20,13:54:00,209.7100000,209.7100000,209.6000000,209.6000000,10240
SBER,1,16/07/20,13:55:00,209.6000000,209.6200000,209.4900000,209.5500000,25690
SBER,1,16/07/20,13:56:00,209.5600000,209.6100000,209.5500000,209.5600000,25650
SBER,1,16/07/20,13:57:00,209.5900000,209.6300000,209.5200000,209.5900000,30620
SBER,1,16/07/20,13:58:00,209.6200000,209.6200000,209.5900000,209.6200000,5090
SBER,1,16/07/20,13:59:00,209.6000000,209.6000000,209.5500000,209.5800000,600
SBER,1,16/07/20,14:00:00,209.5800000,209.5800000,209.5500000,209.5500000,4830
SBER,1,16/07/20,14:01:00,209.5800000,209.5800000,209.5200000,209.5200000,14490
SBER,1,16/07/20,14:02:00,209.5400000,209.5500000,209.5200000,209.5400000,9850
SBER,1,16/07/20,14:03:00,209.5400000,209.5400000,209.4600000,209.5200000,10850
SBER,1,16/07/20,14:04:00,209.5200000,209.5200000,209.4800000,209.4800000,5440
SBER,1,16/07/20,14:05:00,209.4800000,209.4800000,209.4600000,209.4600000,1810
SBER,1,16/07/20,14:06:00,209.4800000,209.6300000,209.4400000,209.4400000,102030
SBER,1,16/07/20,14:07:00,209.4400000,209.5000000,209.4200000,209.4200000,10190
SBER,1,16/07/20,14:08:00,209.4600000,209.5000000,209.4600000,209.4600000,14760
SBER,1,16/07/20,14:09:00,209.4600000,209.4800000,209.4100000,209.4100000,1620
SBER,1,16/07/20,14:10:00,209.4300000,209.4300000,209.3400000,209.4000000,27530
SBER,1,16/07/20,14:11:00,209.4000000,209.4100000,209.3900000,209.4000000,5970
SBER,1,16/07/20,14:12:00,209.3900000,209.4000000,209.3800000,209.3800000,13320
SBER,1,16/07/20,14:13:00,209.3800000,209.3800000,209.3000000,209.3300000,17500
SBER,1,16/07/20,14:14:00,209.3600000,209.5300000,209.3400000,209.5000000,24020
SBER,1,16/07/20,14:15:00,209.5500000,209.5500000,209.5100000,209.5300000,16240
SBER,1,16/07/20,14:16:00,209.5300000,209.5500000,209.5100000,209.5500000,16940
SBER,1,16/07/20,14:17:00,209.5500000,209.7700000,209.5400000,209.7000000,142180
SBER,1,16/07/20,14:18:00,209.7100000,209.7800000,209.6600000,209.7200000,9120
SBER,1,16/07/20,14:19:00,209.7200000,209.7800000,209.6700000,209.7700000,31140
SBER,1,16/07/20,14:20:00,209.7100000,209.8400000,209.6700000,209.8400000,51030
SBER,1,16/07/20,14:21:00,209.8400000,210.1300000,209.8400000,210.0000000,317910
SBER,1,16/07/20,14:22:00,210.0000000,210.1300000,210.0000000,210.0200000,388460
SBER,1,16/07/20,14:23:00,210.0200000,210.0800000,210.0000000,210.0200000,38010
SBER,1,16/07/20,14:24:00,210.0200000,210.0200000,209.9400000,210.0000000,44500
SBER,1,16/07/20,14:25:00,210.0000000,210.0000000,209.9500000,210.0000000,16990
SBER,1,16/07/20,14:26:00,210.0000000,210.0500000,209.9500000,210.0300000,36470
SBER,1,16/07/20,14:27:00,210.0300000,210.1100000,210.0200000,210.0900000,46820
SBER,1,16/07/20,14:28:00,210.1000000,210.3200000,210.0800000,210.1800000,279830
SBER,1,16/07/20,14:29:00,210.1800000,210.2800000,210.1800000,210.2200000,62600
SBER,1,16/07/20,14:30:00,210.2200000,210.2700000,210.2000000,210.2400000,15120
SBER,1,16/07/20,14:31:00,210.2400000,210.4300000,210.2400000,210.3800000,161970
SBER,1,16/07/20,14:32:00,210.3900000,210.4300000,210.2800000,210.3100000,77870
SBER,1,16/07/20,14:33:00,210.3200000,210.4000000,210.3200000,210.3400000,31890
SBER,1,16/07/20,14:34:00,210.3300000,210.3400000,210.2000000,210.2200000,104020
SBER,1,16/07/20,14:35:00,210.2300000,210.3500000,210.2100000,210.2200000,82370
SBER,1,16/07/20,14:36:00,210.2200000,210.2400000,210.1600000,210.1600000,31250
SBER,1,16/07/20,14:37:00,210.1600000,210.1800000,210.1000000,210.1300000,28380
SBER,1,16/07/20,14:38:00,210.1000000,210.1400000,210.0600000,210.0700000,18700
SBER,1,16/07/20,14:39:00,210.0700000,210.2000000,210.0700000,210.1600000,17080
SBER,1,16/07/20,14:40:00,210.1900000,210.1900000,210.0900000,210.1100000,17190
SBER,1,16/07/20,14:41:00,210.1100000,210.1300000,210.1000000,210.1300000,20430
SBER,1,16/07/20,14:42:00,210.1300000,210.2300000,210.1300000,210.1600000,28240
SBER,1,16/07/20,14:43:00,210.1400000,210.3100000,210.1400000,210.2500000,40230
SBER,1,16/07/20,14:44:00,210.2500000,210.2700000,210.2100000,210.2400000,5100
SBER,1,16/07/20,14:45:00,210.2400000,210.2400000,210.1400000,210.1600000,66370
SBER,1,16/07/20,14:46:00,210.1400000,210.1500000,209.9300000,210.0000000,277150
SBER,1,16/07/20,14:47:00,210.0200000,210.0800000,210.0000000,210.0300000,8300
SBER,1,16/07/20,14:48:00,210.0500000,210.1000000,210.0300000,210.0300000,5690
SBER,1,16/07/20,14:49:00,210.0300000,210.1100000,210.0100000,210.0100000,13250
SBER,1,16/07/20,14:50:00,210.0200000,210.0600000,209.9300000,210.0600000,47860
SBER,1,16/07/20,14:51:00,210.0600000,210.1100000,210.0600000,210.0800000,8300
SBER,1,16/07/20,14:52:00,210.0600000,210.1000000,210.0400000,210.0900000,8630
SBER,1,16/07/20,14:53:00,210.0800000,210.0800000,210.0100000,210.0500000,4100
SBER,1,16/07/20,14:54:00,210.0000000,210.0200000,209.8900000,209.9500000,58160
SBER,1,16/07/20,14:55:00,209.9900000,210.0200000,209.9700000,210.0000000,39380
SBER,1,16/07/20,14:56:00,210.0300000,210.0400000,209.8800000,209.9400000,48390
SBER,1,16/07/20,14:57:00,209.9100000,209.9400000,209.6700000,209.7700000,412370
SBER,1,16/07/20,14:58:00,209.7300000,209.8600000,209.6500000,209.8100000,119210
SBER,1,16/07/20,14:59:00,209.8000000,209.8700000,209.7400000,209.8600000,30820
SBER,1,16/07/20,15:00:00,209.8600000,210.0200000,209.8400000,209.9600000,126150
SBER,1,16/07/20,15:01:00,210.0000000,210.0100000,209.9000000,209.9400000,22070
SBER,1,16/07/20,15:02:00,209.9000000,210.0200000,209.8100000,210.0000000,153760
SBER,1,16/07/20,15:03:00,210.0000000,210.0200000,209.9800000,210.0200000,17650
SBER,1,16/07/20,15:04:00,210.0200000,210.0700000,209.9000000,209.9000000,72640
SBER,1,16/07/20,15:05:00,209.9300000,209.9600000,209.9000000,209.9200000,20690
SBER,1,16/07/20,15:06:00,209.9100000,209.9600000,209.9000000,209.9200000,6480
SBER,1,16/07/20,15:07:00,209.9100000,209.9900000,209.9100000,209.9900000,6760
SBER,1,16/07/20,15:08:00,209.9600000,209.9600000,209.9100000,209.9200000,22030
