<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,16/07/20,10:01:00,209.7000000,210.5900000,209.5200000,210.3900000,667800
SBER,1,16/07/20,10:02:00,210.3900000,210.4900000,210.0600000,210.2800000,339060
SBER,1,16/07/20,10:03:00,210.2800000,210.3800000,210.1400000,210.1400000,113330
SBER,1,16/07/20,10:04:00,210.2000000,210.2100000,209.8700000,210.0400000,247070
SBER,1,16/07/20,10:05:00,210.0000000,210.2500000,209.9700000,210.1500000,215920
SBER,1,16/07/20,10:06:00,210.1900000,210.3100000,210.1200000,210.1500000,188770
SBER,1,16/07/20,10:07:00,210.1600000,210.2600000,210.0500000,210.1000000,120800
SBER,1,16/07/20,10:08:00,210.0500000,210.0800000,209.9500000,209.9600000,238310
SBER,1,16/07/20,10:09:00,209.9900000,210.1500000,209.9000000,210.1100000,100780
SBER,1,16/07/20,10:10:00,210.1200000,210.2800000,209.9500000,210.0000000,166600
SBER,1,16/07/20,10:11:00,210.0500000,210.1500000,209.9500000,209.9500000,239060
SBER,1,16/07/20,10:12:00,210.0000000,210.0500000,209.8100000,209.9500000,101240
SBER,1,16/07/20,10:13:00,209.9200000,210.1100000,209.9200000,210.0000000,37450
SBER,1,16/07/20,10:14:00,210.0300000,210.0800000,209.8600000,210.0000000,95270
SBER,1,16/07/20,10:15:00,210.0000000,210.0300000,209.8600000,209.8800000,81490
SBER,1,16/07/20,10:16:00,209.8800000,210.0800000,209.7700000,210.0800000,64740
SBER,1,16/07/20,10:17:00,210.0000000,210.0500000,209.9500000,209.9700000,42350
SBER,1,16/07/20,10:18:00,209.9700000,210.0000000,209.9300000,209.9400000,26500
SBER,1,16/07/20,10:19:00,209.9500000,210.0000000,209.8200000,209.9100000,36200
SBER,1,16/07/20,10:20:00,209.8500000,209.9000000,209.8100000,209.8100000,44770
SBER,1,16/07/20,10:21:00,209.8800000,210.0300000,209.8100000,210.0000000,50180
SBER,1,16/07/20,10:22:00,209.9900000,210.0300000,209.8300000,209.8700000,17800
SBER,1,16/07/20,10:23:00,209.8700000,210.0000000,209.8300000,210.0000000,19700
SBER,1,16/07/20,10:24:00,210.0000000,210.1000000,209.9600000,210.0100000,52820
SBER,1,16/07/20,10:25:00,210.0300000,210.1000000,209.9300000,210.0700000,42520
SBER,1,16/07/20,10:26:00,210.0900000,210.1000000,209.8600000,210.0100000,154490
SBER,1,16/07/20,10:27:00,210.0000000,210.0000000,209.9100000,209.9300000,15230
SBER,1,16/07/20,10:28:00,209.9400000,209.9400000,209.7200000,209.7500000,98900
SBER,1,16/07/20,10:29:00,209.8000000,209.8000000,209.6400000,209.6600000,80810
SBER,1,16/07/20,10:30:00,209.6600000,209.6800000,209.2800000,209.4400000,300930
SBER,1,16/07/20,10:31:00,209.3800000,209.4500000,209.2800000,209.3800000,102120
SBER,1,16/07/20,10:32:00,209.4000000,209.4900000,209.2200000,209.4600000,128740
SBER,1,16/07/20,10:33:00,209.4600000,209.4700000,209.3200000,209.3900000,32310
SBER,1,16/07/20,10:34:00,209.3900000,209.4100000,209.3000000,209.4100000,36650
SBER,1,16/07/20,10:35:00,209.4100000,209.5800000,209.4000000,209.5600000,56540
SBER,1,16/07/20,10:36:00,209.5900000,209.5900000,209.4600000,209.5500000,31000
SBER,1,16/07/20,10:37:00,209.5200000,209.5900000,209.4500000,209.5000000,23280
SBER,1,16/07/20,10:38:00,209.5500000,209.5600000,209.4600000,209.5300000,3290
SBER,1,16/07/20,10:39:00,209.5300000,209.5500000,209.3700000,209.3900000,45930
SBER,1,16/07/20,10:40:00,209.3500000,209.4100000,209.2900000,209.2900000,23020
SBER,1,16/07/20,10:41:00,209.2900000,209.4100000,209.1600000,209.2800000,134470
SBER,1,16/07/20,10:42:00,209.3000000,209.4200000,209.2700000,209.4200000,35240
SBER,1,16/07/20,10:43:00,209.4400000,209.4600000,209.3700000,209.4500000,25150
SBER,1,16/07/20,10:44:00,209.4300000,209.4500000,209.3100000,209.4500000,15880
SBER,1,16/07/20,10:45:00,209.3900000,209.5700000,209.3900000,209.5700000,75260
SBER,1,16/07/20,10:46:00,209.5700000,209.7000000,209.4100000,209.6700000,211900
SBER,1,16/07/20,10:47:00,209.6700000,209.7000000,209.6000000,209.6900000,30090
SBER,1,16/07/20,10:48:00,209.6900000,209.8400000,209.6000000,209.8400000,69760
SBER,1,16/07/20,10:49:00,209.7700000,209.7700000,209.6000000,209.7300000,60480
SBER,1,16/07/20,10:50:00,209.6900000,209.7900000,209.6600000,209.7400000,29090
SBER,1,16/07/20,10:51:00,209.7400000,209.8300000,209.7400000,209.8100000,39340
SBER,1,16/07/20,10:52:00,209.8100000,209.8100000,209.5200000,209.5700000,41740
SBER,1,16/07/20,10:53:00,209.6100000,209.6900000,209.5700000,209.6200000,14940
SBER,1,16/07/20,10:54:00,209.6300000,209.7700000,209.6300000,209.7700000,57410
SBER,1,16/07/20,10:55:00,209.7600000,209.8000000,209.6700000,209.7900000,32720
SBER,1,16/07/20,10:56:00,209.7200000,209.7200000,209.6200000,209.6200000,15720
SBER,1,16/07/20,10:57:00,209.6200000,209.6900000,209.5000000,209.6200000,23720
SBER,1,16/07/20,10:58:00,209.6600000,209.7500000,209.6100000,209.7500000,30060
SBER,1,16/07/20,10:59:00,209.7400000,209.7400000,209.5500000,209.6400000,28500
SBER,1,16/07/20,11:00:00,209.6000000,209.6400000,209.4400000,209.4700000,63290
SBER,1,16/07/20,11:01:00,209.4700000,209.5400000,209.3700000,209.4800000,74940
SBER,1,16/07/20,11:02:00,209.5100000,209.5400000,209.3000000,209.5300000,95030
SBER,1,16/07/20,11:03:00,209.5300000,209.7300000,209.5300000,209.6800000,43340
SBER,1,16/07/20,11:04:00,209.7100000,209.7200000,209.5500000,209.6800000,26590
SBER,1,16/07/20,11:05:00,209.7000000,209.7500000,209.5700000,209.6600000,76460
SBER,1,16/07/20,11:06:00,209.6600000,209.7500000,209.6100000,209.7000000,31740
SBER,1,16/07/20,11:07:00,209.7200000,209.7800000,209.6800000,209.7200000,42040
SBER,1,16/07/20,11:08:00,209.7200000,209.7900000,209.6700000,209.7100000,17260
SBER,1,16/07/20,11:09:00,209.7200000,209.7500000,209.6100000,209.6900000,75250
SBER,1,16/07/20,11:10:00,209.7300000,209.7700000,209.6600000,209.7000000,13130
SBER,1,16/07/20,11:11:00,209.7200000,209.7500000,209.6600000,209.7500000,28420
SBER,1,16/07/20,11:12:00,209.7200000,209.7400000,209.6200000,209.7100000,47540
SBER,1,16/07/20,11:13:00,209.7100000,209.7100000,209.6100000,209.6600000,16250
SBER,1,16/07/20,11:14:00,209.6600000,209.7000000,209.6200000,209.6700000,10220
SBER,1,16/07/20,11:15:00,209.6700000,209.7000000,209.5200000,209.6700000,74750
SBER,1,16/07/20,11:16:00,209.6600000,209.7000000,209.5900000,209.6900000,41860
SBER,1,16/07/20,11:17:00,209.6800000,209.7000000,209.5800000,209.6500000,14550
SBER,1,16/07/20,11:18:00,209.6500000,209.6500000,209.4300000,209.5700000,84850
SBER,1,16/07/20,11:19:00,209.6400000,209.6400000,209.5600000,209.6000000,8250
SBER,1,16/07/20,11:20:00,209.6000000,209.6200000,209.5300000,209.5700000,10310
SBER,1,16/07/20,11:21:00,209.5700000,209.6000000,209.4600000,209.4600000,17330
SBER,1,16/07/20,11:22:00,209.4600000,209.5000000,209.3400000,209.3800000,162730
SBER,1,16/07/20,11:23:00,209.4300000,209.5100000,209.3800000,209.5000000,19500
